what | pron. | 什么
is | v. | 是
what's |  | what is 的缩写形式
your | pron. | 你的,你们的
name | n. | 名字
my | pron. | 我的
I | pron. | 我
am | v. | 是
I'm |  | I am 的缩写形式
in | prep. | 在...里(内,上)；用...(表达)
row | n. | (一)排,(一)行
one | num. & pron. | 一；用来代替单数的人或物
number | n. | 数字,号码
two | num. | 二
too | adv. | 也；太
three | num. | 三
are | v. | 是
you | pron. | 你,你们
yes | adv. | 是；(用于疑问,征询等)什么,是吗
four | num. | 四
five | num. | 五
no | adv. & adj. | 不,不是
not | adv. | 不
hi | int. | 喂(问候或唤起注意)
class | n. | (学校里的)班级,年级；同一个班的学生
grade | n. | 年级
six | num. | 六
seven | num. | 七
eight | num. | 八
nine | num. | 九
ten | num. | 十
zero | num. & n. | 零
plus | prep. | 加,加上
it | pron. | 它
It's |  | it is 的缩写形式
how | adv. | (指程度)多少,怎样
old | adj. | ...岁的,老的
eleven | num. | 十一
twelve | num. | 十二
thirteen | num. | 十三
fourteen | num. | 十四
fifteen | num. | 十五
hello | int. | 喂(问候或唤起注意)
please | int. | 请
can | v.aux. | 能,可以,会
spell | v. | 拼写
that | pron. | 那,那个
secret | n. | 秘密
this | pron. | 这,这个
English | n. & adj. | 英语,英国人
in English | phr. | 用英语(表达)
a | art. | 一(个,件...)
clock | n. | 钟
and | conj. | 和,又,而
pencil-box | n. | 铅笔盒
an | art. | 一(个；件.)
pencil | n. | 铅笔
ruler | n. | 尺子
pen | n. | 钢笔
eraser | n. | 橡皮擦
room | n. | 房间
book | n. | 书
map | n. | 地图
desk | n. | 书桌
cup | n. | 杯子
bag | n. | 书包
computer | n. | 电脑,电子计算机
mouse | n. | 鼠,耗子,鼠标
bed | n. | 床
keyboard | n. | 键盘
isn't |  | is not 的缩写形式
pear | n. | 梨
cake | n. | 蛋糕,饼,糕
banana | n. | 香蕉
apple | n. | 苹果
orange | n. & adj. | 橙子,橘子；橙色(的)
egg | n. | 蛋
bike | n. | 自行车
bus | n. | 公共汽车
car | n. | 汽车,小汽车
Chinese | adj. | 中国的,中国人的；n. 中国人,汉语
Japanese | adj. | 日本的,日本人；n. 日本人，日语
look | v. & n. | 瞧,看；看上去,显得
who | pron. | 谁
she | pron. | 她
he | pron. | 他
bird | n. | 鸟
Its | pron. | 它的
do | v.aux. & v. | (构成否定句,疑问句的助动词)；做,干,行动
don't |  | do not 的缩写形式
know | v. | 知道,懂得
think | v. | 想,认为
Mr=mister | n. | 先生(用于姓名前)
very | adv. | 很,非常
picture | n. | 图画,照片
Mrs | n. | 夫人
boy | n. | 男孩
girl | n. | 女孩
woman | n. | 妇女,女人
man | n. | 男人,人
cat | n. | 猫
his | pron. | 他的
teacher | n. | 教师
her | pron. | 她的
everyone | pron. | 每人,人人
here | adv. | 这里,这儿
today | adv. & n. | 今天
at | prep. | 在
school | n. | 学校
at school | phr. | 在学校
sorry | adj. | 对不起,抱歉的
where | adv. | 在哪里
home | n. | 家
at home | phr. | 在家
How are you |  | 你(身体)好吗?
fine | adj. | (身体)好的
thanks | n. | 谢谢(只用复数)
OK | adv. | (口语)好,对,不错,可以
thank | v. | 谢谢
goodbye | int. | 再见,再会
bye | int. | 再见
sister | n. | 姐,妹
father | n. | 父亲
mother | n. | 母亲
box | n. | 盒子,箱子
excuse | v. | 原谅
me | pron. | 我
Here you are |  | 给你
but | conj. | 但是
these | pron. | 这些
they | pron. | 他(她,它)们
good | adj. | 好的
those | pron. | 那些
boat | n. & v. | 船；划船
hill | n. | 小山
tree | n. | 树
their | pron. | 他们(她们,它们)的
much | adv. | 多,很,非常
very much | phr. | 很,非常
all | adv. & adj. | 都,完全；整个；所有的；全体；全部
right | adv. & adj. | 对的,正确的；正好；恰好；正确
all right | phr. | 好,行,不错
mum | n. | (口语)妈妈
friend | n. | 朋友
brother | n. | 兄,弟
nice | adj. | 令人愉快的；好的,漂亮的
to | prep. | (表示方向)到,向动词不定式符号
meet | v. | 见面,会面,遇见
child | n. | 小孩
children | n. | child的复数形式
welcome | v. | 欢迎
our | pron. | 我们的
come | v. | 来
come in | phr. | 进来,进入
morning | n. | 早晨,上午
on | prep. | 在,在...上
duty | n. | 职责,责任
on duty | phr. | 值日
we | pron. | 我们
aren't |  | are not 的缩写形式
have | v. | 有
new | adj. | 新的
student | n. | 学生
twin | n. | 双胞胎之一
the | art. | 这(那)个,这(那)些
same | adj. | 同样的,同一的
look the same | phr. | 看起来很像
America | n. & adj. | 美国人(的)；美国
sit | v. | 坐
down | adv. | 向下
sit down | phr. | 坐下
over | adv. | 在那边,在另一边；结束,完了
there | adv. & int. | 那里,那儿；表示存在,有..,作引导词；好啦(表示安慰)
over there | phr. | 在那边
after | prep. | 在...以后,在...后面
look after | phr. | 照顾,照看
Miss | n. | 女士,小姐(对未婚妇女的称呼)
way | n. | 路,道路
This way,please. |  | 请走这边
put | v. | 放
coat | n. | 外套,上衣
them | pron. | 他(她,它)们
let | v. | 让
us | pron. | 我们
let's |  | let us 的缩写形式
go | v. & n. | 去；尝试(做某事)
Let's go |  | 我们一起去
classmate | n. | 同班同学
love | v. | 爱,喜爱
No | n. | number 的缩写形式
middle | adj. | 中间的,中级的
middle school | n. | 中学
well | int. & adv. & adj. | 喔,那么,好吧；好；好,(身体)健康
phone | n. | 电话,电话机
ID | n. | 身份征
policeman | n. | 警察
ask | v. | 问
sir | n. | (用于尊称)先生,阁下
licence | n. | 执照,许可证
look at | phr. | 看,观看
dear | int. & adj. | (表示惊讶等)哎呀；亲爱的；可爱的
see | v. | 看见,看到
I'll |  | I will 的缩写形式
will | v.aux. | 将,会,要
take | v. | 拿到,带到；花费(时间)
address | n. | 地址
age | n. | 年龄
glad | adj. | 高兴的,乐意的
why | int. & adv. | (表示惊讶,不耐烦,恼怒等) 嗨；为什么
forgot | v. | (forget 的过去时)忘记
now | adv. | 现在
China | n. | 中国
or | conj. | 或者,还是
work | v. & n. | 工作
goes |  | go的单数第三人称现在时
family | n. | 家,家庭
family tree | n. | 家谱
grandmother | n. | (外)祖母
grandma | n. | (口语)奶奶,外婆
grandfather | n. | (外)祖父
grandpa | n. | (口语)爷爷,外公
dad | n. | (口语)爸爸,爹爹
wife | n. | 妻子
husband | n. | 丈夫
daughter | n. | 女儿
son | n. | 儿子
parent | n. | 父(母)亲
parents | n. | 父母亲,双亲
big | adj. | 大的
England | n. | 英格兰
aunt | n. | 姨母,舅母,姑母,伯母,婶母
uncle | n. | 叔,伯,舅,姨父,姑父
afternoon | n. | 下午,午后
How do you do ? |  | 你好!
seat | n. | 座位
have a seat |  | 坐下,就坐
like | prep. & v. | 像,跟...一样；喜欢
look like | phr. | 看起来像
hat | n. | 帽子(一般指有边的帽子)
doctor | n. | 医生
worker | n. | 工人
guess | v. | 猜
behind | prep. | 在...后面
chair | n. | 椅子
ball | n. | 球
under | prep. | 在...下面
floor | n. | (室内)地,地板
can't |  | can not 的缩写形式
photo | n. | 照片
wall | n. | 墙
shoe | n. | 鞋
near | prep. | 在...附近
door | n. | 门
of | prep. | ...的
classroom | n. | 教室
answer | v. | 回答
blackboard | n. | 黑板
some | pron. | 一些,若干
schoolbag | n. | 书包
flower | n. | 花
find | v. | 找到,发现
window | n. | 窗
cap | n. | 便帽,军帽
football | n. | 足球
table | n. | 桌子
Hong Kong | n. | 香港
Macao | n. | 澳门
there's |  | there is 的缩写形式
lock | v. & n. | 锁
many | adj. | 许多的,多的
thing | n. | 东西,事情
must | v.aux. | 必须,应当
open | v. & n. & adj. | 打开；开着的
get | v. | 得到,获得
help | v. | 帮助
money | n. | 钱,货币
worry | v. | (使)担忧
Let me see |  | 让我想想
fifty | num. | 五十
colour | n. | 颜色；v. 给...着色
black | adj. | 黑色的
house | n. | 房子
small | adj. | 小的
play | v. | 玩,打(球)
up | adv. | 在上面,在高处,向上,起来
with | prep. | 和；对…；关于
great | adv. & adj. | (口语)好极了,很好；伟大的,很大的,重要的
have a look | phr. | 看一看
ping-pong | n. | 乒乓球
how many | phr. | 多少
kite | n. | 风筝
young | adj. | 年轻的,幼小的
