minus | prep. | 减,减去
sharpener | n. | 卷笔刀
jeep | n. | 吉普车
parrot | n. | 鹦鹉
washroom | n. | 盥洗室,厕所
fax | n. | 传真
broom | n. | 扫帚
raincoat | n. | 雨衣
SAR | n. | 特别行政区
purse | n. | 钱包
playhouse | n. | 儿童游戏房
midnight | n. | 午夜
supper | n. | 晚餐
have supper | phr. | 吃晚餐
eighteenth | num. | 第十八
tick | n. | (钟表等滴嗒的)声音
wardrobe | n. | 衣柜
goodness | n. | 善良；美德
mend | v. | 修补；修理
coke | n. | (口语)可口可乐
ouch | int. | (突然感到病痛时发出的声音)啊呀
yo-yo | n. | 溜溜球(一种玩具)
postal | adj. | 邮政的
roller-skating | n. | 滑旱冰
schoolboy | n. | (中小学的)男学生
textbook | n. | 课本
Englishman | n. | (pl.Englishmen)英国(男)人
Australian | adj. | 澳大利亚人
foreigner | n. | 外国人
smog | n. | 烟雾
baker | n. | 面包师
minibus | n. | 小型公共汽车
