eighth | num. | 第八
salesgirl | n. | 女售货员
ninth | num. & adj. | 第九(的)
mid-autumn | n. | 中秋
nut | n. | 坚果,坚果核
harvest | n. | 收获
pumpkin | n. | 南瓜
turkey | n. | 火鸡
tractor | n. | 拖拉机
wheat | n. | 小麦
bleat | v. & n. | 羊叫(声)
dolphin | n. | 海豚
cage | n. | 笼(子),鸟笼
seafood | n. | 海鲜,海产食品
bookshop | n. | 书店
soccer | n. | 英式足球
Swedish | adj. | 瑞典的,瑞典人的
sunshine | n. | 日光,阳光
melon | n. | 瓜
northeast | n. | 东北,东北部
daytime | n. | 白天
northwest | n. | 西北,西北部
foggy | adj. | 有雾,多雾的
doorbell | n. | 门铃
showery | adj. | 降雨的,多阵雨的
magical | adj. | 魔法(似)的
cupboard | n. | 碗橱,小橱(柜)
pea | n. | 豌豆
workplace | n. | 工作场所
waiter | n. | 服务员
cafe | n. | 小餐馆,咖啡厅
disturb | v. | 妨碍,打扰
queue | n. | (按次序等待的人,车等的)队, 行列
jumper | n. | 跳跃者
queue jumper | n. | 不按次序排队的人
at midnight | phr. | 在半夜
quarrel | v. | 争吵
quarrel with | phr. | (和某人)吵架
enjoy oneself | phr. | 过得快乐,玩得痛快
farthest | adj. & adv. | (far的最高级)最远
all by oneself | phr. | 独立,单独
happily | adv. | 高兴地,快乐地
sooner or later | phr. | 迟早
teach oneself | phr. | 自学
moonlight | n. & adj. | 月光(的)
dim | adj. | 微暗的,昏暗的
brightly | adv. | 明亮地,闪亮地
silently | adv. | 寂静地,沉默地
relay | n. | 接力,赛跑
runner | n. | 赛跑的人
loudly | adv. | 大声地,高声地
lap | n. | (竞赛场的)一圈
loudspeaker | n. | 扬声器,扩音器
headmaster | n. | 校长
best-seller | n. | 畅销货(书)
microcomputer | n. | 微型计算机
Microsoft | n. | 微软公司
unlucky | adj. | 不走运的,不幸的
conductor | n. | (汽车,电车上的)售票员,列车员
painter | n. | 画家
upstairs | adj. & adv. | (在)楼上,(往) 楼上
downstairs | adj. & adv. | (在)楼下,(往)楼下
bang | v. | 猛敲,猛撞,砰砰作响
seller | n. | 卖者,售货员
politely | adv. | 有礼貌地
racket | n. | (网球,羽毛球等的)球拍
motorbike | n. | 摩托车或有发动机的自行车
luckily | adv. | 好运地,幸运地
gatekeeper | n. | 看门人,门卫
crow | v. | 拥挤
steer | n. & v. | 驾驶,掌舵
steering wheel | n. | 驾驶盘
dive | v. | 潜入(水中),跳水
diver | n. | 潜入水中的人,潜水员
come to oneself | phr. | 苏醒,恢复知觉
rob | v. | 抢劫
Titanic | n. | 泰坦尼克(船名)
iceberg | n. | 冰山
lifeboat | n. | 救生船(艇)
thankful | adj. | 感激的,感谢的
noisy | adj. | 喧闹的,嘈杂的
shellfish | n. | 贝类,甲壳虫
toe | n. | 脚趾
